SKey,Sname
1,StARTinitiative
2,BuildingIQ
3,ZenPayroll
4,FRWD Technologies
5,KoldCast Entertainment Media
6,Tornado Medical Systems
7,Proteon Therapeutics
8,Air Robotics
9,Elevate
10,Multispectral Imaging
11,Scratch Wireless
12,Sterling Heights Dentist
13,Szl
14,Centrifuge Systems
15,Bitzio -  Inc.
16,VIRTRA SYSTEMS
17,Conference Hound
18,DOOMORO
19,Gearbox Software
20,Beagle Bioproducts
21,CloudCar
22,Mind Technologies
23,Blooie
24,Shopogoliq
25,Nearway
26,ItsGoinOn
27,Arava Power Company
28,AGM Automotive
29,Sumoing
30,Affectv
31,CEGA Innovations
32,ZAPS Technologies
33,NanoVelos
34,Spotistic
35,Welcome Funds
36,CNEX LABS
37,Spring
38,Camstar Systems
39,Assignment Editor
40,eFolder
41,frestyl
42,CENTRI Technology
43,APTwater
44,GroupCharger
45,The Motley Fool
46,GlobalLogic
47,Crowd Sense
48,iSyndica
49,Shakr Media
50,Entelos
51,Jogg
52,Tauntr
53,Ad Hoc Labs
54,Picwing
55,Healint
56,The Knowland Group
57,Dep-Xplora
58,Shenzhouying Software Technology
59,Advanced Personalized Diagnostics
60,Asurvest
61,Qingdao Land of State Power Environment Engineering
62,Sunovia
63,Strategic Funding Source
64,Motionsoft
65,Trak
66,New Wind
67,Socii
68,Takepin
69,Loot!
70,Check
71,Stage I Diagnostics
72,Flux Power
73,Peckforton Pharmaceuticals
74,Motivity Labs
75,Philz Coffee
76,Scrip-t
77,IKO System
78,Happlink
79,PowerDMS
80,Avvasi Inc.
81,Rx Networks
82,Feedtrace
83,Agile Wind Power
84,DiningCircle
85,Edinburgh Molecular Imaging
86,Exeter Property Group
87,Animoto
88,WireImage
89,olook
90,BioCeramic Therapeutics
91,Sure Secure Solutions
92,uberall
93,GOVECS
94,GeneWeave Biosciences
95,The New Craftsmen
96,Memopal
97,Plum.io
98,Eventure Interactive
99,Plympton
100,Storybird
101,PATHEOS
102,Performance Marketing Brands -  Inc.
103,Airbiquity
104,NOZA
105,Cervel Neurotech
106,AttorneyFee
107,Coolest Cooler
108,Storemates
109,ZeOmega
110,Balakam
111,Overlay.tv
112,Green Clean
113,Trifacta
114,Sensorly
115,School Innovations & Achievement
116,Progressive Lighting And Energy Solutions
117,Skipjump
118,Introhive
119,Sendmebox
120,Sustainable Industrial Solutions
121,Fubles
122,Alacritech
123,Adviesmanager.nl
124,ServiceFrame
125,ActiveSec
126,Open Mile
127,Back&
128,Advaxis
129,Illumio
130,Onconova Therapeutics
131,Bitfone Corporation
132,SIGKAT
133,Synovex
134,Ocutronics
135,MoneyExpert
136,CymaBay Therapeutics
137,Eatwave
138,Foruforever
139,Skyfire Labs
140,NextFit
141,Sendia
142,LineRate Systems
143,Infindo Technology Sdn Bhd
144,Reelmotionmedia.com
145,MiTu Network
146,Merchantry
147,Bolt
148,PostBeyond
149,Estimote
150,RoleStar
151,SaySwap
152,Invo Bioscience
153,ProtoGeo
154,ShopKeep POS
155,Thengine Co
156,AeroGrow International
157,LifeBio
158,Ryla
159,LapSpace
160,Helleroy
161,Avenida
162,goBramble
163,MDxHealth
164,TweepsMap
165,Metaplace
166,Trly Uniq
167,Uskape
168,Showbie
169,NeuroQuest
170,Symcat
171,EZ2CAD
172,Iwebalize
173,Docea Power
174,Resilience
175,CloudTags
176,Mark One
177,RSI Video Technologies
178,M??decins Sans Fronti??res
179,Edserv Softsystems
180,Fit Steps
181,EnChroma
182,Sirtris Pharmaceuticals
183,Serina Therapeutics
184,Eden Therapeutics
185,Gaudena
186,Onaro
187,Meilele
188,CyPhy Works
189,Diaphonics
190,Follica
191,SMGBB
192,Catbird
193,ContinuityX Solutions
194,Winking Entertainment
195,Super Ele&Tec
196,Field Nation
197,Guzu
198,Novetas Solutions
199,Recon Instruments
200,X5 Group
201,Feniks
202,Wytec International
203,Fallbrook Technologies
204,DecideQuick
205,IronPlanet
206,SureVisit
207,Tweetwall
208,TheraVida
209,Massachusetts Life Sciences Center
210,Rhone Apparel
211,Drawn to Scale
212,Waremakers
213,Flythegap
214,Engineering Ideas
215,TheLocker
216,Zubka
217,Spotlight Innovation
218,eFolder
219,Transport Pharmaceuticals
220,Estrela Digital
221,GOSO
222,DigitalOcean
223,RingCaptcha
224,Mulu
225,Virtual Paper
226,School Places
227,NeuroPace
228,TopRealty
229,Green Energy Corp
230,YPX Cayman Holdings
231,Nano Meta Technologies
232,Stevie
233,Uniken Systems
234,Red Stamp
235,Be Great Partners
236,SensorCath
237,Daio
238,auctionpoint
239,Szl
240,LifeVantage
241,TechFaith
242,NuMe Health
243,Jellyvision
244,Luminate
245,myPizza.com
246,Abyz
247,Heartland Dental Care
248,ALCOHOOT
249,TRAKLOK
250,Blackwave
251,ENTEROME Bioscience
252,Uni-Power Group
253,Syntonic Wireless
254,Genevolve Vision Diagnostics
255,General Fusion
256,Opsware
257,Curioos
258,IM-Sense
259,KitBoost
260,Tandem Transit
261,Kite Pharma
